TOK,IP,BT,NEL,PLTH,RGEO,KAREA,EPS,MEFF,A,RHOSTAR,BETASTAR,NUSTAR,QCYL5,Q95,TAUTH_exp,TAUTH_pred
ITER,15,5.3,1.03,87,6.2,1.8,0.322581,2.5,2,0.002,2.24,0.014,1.94,3,3.5,2.94
SPARC,8.7,12.2,3.1,25,1.85,1.97,0.308108,2.5,0.57,0.0027,1.2,0.029,2.46,,0.77,0.73
