,mean,std
RHOSTAR,0.2159,0.0116
NUSTAR,0.2044,0.0105
Q95,0.1343,0.0091
BETASTAR,0.0474,0.0047
BEIMHD,0.0308,0.0048
WFFORM,0.02,0.004
BT,0.0172,0.0037
IP,0.0121,0.0027
POHM,0.0085,0.0028
NESOL,0.0046,0.0022
ZEFFNEO,0.0033,0.0014
WFICFORM,0.0031,0.0013
PFLOSS,0.0,0.0
PECRH,0.0,0.0
PRAD,0.0,0.0
NEL,0.0,0.0
ELMFREQ,0.0,0.0
TIV,0.0,0.0
TORQ,0.0,0.0
DWDIA,0.0,0.0
ZEFF,0.0,0.0
PICRH,0.0,0.0
