,mean,std
NUSTAR,0.085,0.0085
RHOSTAR,0.0451,0.0058
Q95,0.0406,0.0055
POHM,0.04,0.0063
PICRH,0.0334,0.0046
BT,0.0305,0.0049
IP,0.0272,0.0049
WFFORM,0.0248,0.0049
ZEFF,0.0236,0.0049
BEIMHD,0.0236,0.0056
TIV,0.0233,0.0053
ELMFREQ,0.0227,0.0035
TORQ,0.0223,0.004
NEL,0.0174,0.0046
PRAD,0.017,0.0041
PECRH,0.0157,0.0029
NESOL,0.0141,0.0041
PFLOSS,0.0116,0.0042
BETASTAR,0.0076,0.0032
WFICFORM,0.0051,0.0023
DWDIA,0.0,0.0
ZEFFNEO,0.0,0.0
