alpha,ids
0.798695966205183,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'PRWVE9' 'XO4VOF' 'C8B97R']
0.7840714452483354,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'HZAOA9' 'JZYOEQ' '8XZHVY']
0.8362132427081406,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'TZ4VKU' 'CK9HO2' 'CLSZJC']
0.7952443141280432,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'RYX2EQ' 'AHBI71' 'JV9CKB']
0.8019461269859307,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'O38KBY' 'Z8CP0R' '6V7URD']
0.8024245618820853,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'TYVAS5' 'JUELN8' 'C63MPA']
0.8168338285985018,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'VAQUUW' 'MQE7WO' '2LC96S']
0.7872691340984579,['HDULEH' 'NAC6N1' 'U2T1C7' ... '75VMH6' 'YB8OE0' 'R9REY0']
0.8209234450549384,['HDULEH' 'NAC6N1' 'U2T1C7' ... '7260I3' 'JBSLYH' '0F8CWZ']
0.8426988626378414,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'ADCTLD' 'XPN8XD' 'BERWJQ']
0.7794909362546885,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'MQE7WO' 'TVDP1V' 'LEJMCZ']
0.7961229013761195,['HDULEH' 'NAC6N1' 'U2T1C7' ... '3LPWSP' 'H64R06' 'H3T1XO']
0.8128182400733344,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'S0BWPT' 'PU14F1' '3AIJA3']
0.8321214929661979,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'MQE7WO' '3ZQXA0' 'TX471Q']
0.8128895023162772,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'RFNMSP' '5J27IG' 'MVBJCZ']
0.8204347029942928,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'H4L317' 'VKVU2T' 'UHWFXI']
0.8203442759031002,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'ZQP63V' 'P3SIHR' '102L0Q']
0.7833650809166703,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'WEN1XS' 'G2X9J4' 'IJ7Y34']
0.8062325207417101,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'FONBA3' 'WAX07E' '922BM8']
0.8171986624926776,['HDULEH' 'NAC6N1' 'U2T1C7' ... '6YEMS7' 'IHO22M' 'UZT4UI']
0.8218597895085862,['HDULEH' 'NAC6N1' 'U2T1C7' ... '2HUY2I' '7260I3' '5ELD9X']
0.8262506657188735,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'C50M45' '05Q82K' 'HVMXGZ']
0.823581668789413,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'XZ09WS' 'ATVFN8' 'N6ABEV']
0.8180867033232782,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'IJ7Y34' 'MBEFPX' 'GFV654']
0.8064929682463843,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'IHW3M2' '83UOI4' 'P9AFWO']
0.8557812410113326,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'RID2U5' '6NJM2L' 'LBUYMZ']
0.7954902053263915,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'ANUBU0' 'R33C81' 'E645PU']
0.8032612229930373,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'MXJL5L' '6YU9NK' 'QDI5NN']
0.8187403310636285,['HDULEH' 'NAC6N1' 'U2T1C7' ... '1DYOFK' '0ZG8I4' 'TY86C7']
0.8362731964593655,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'SI530O' 'JUELN8' 'XI99CY']
0.8078396249595592,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'KUKFI7' 'NIJVMQ' 'AP1P22']
0.8008324852652864,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'TYU8HO' '4M73SR' 'QA2ILS']
0.8053279888226664,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'VAQUUW' 'O38KBY' '82XDE7']
0.8034283030678119,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'ZK7HUS' 'IJHFLE' 'PEWWN4']
0.7707694153123795,['HDULEH' 'NAC6N1' 'U2T1C7' ... '1WIEX7' 'W5JY3X' 'BVIJLZ']
0.7997468694189932,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'YS1VGV' 'KCFG2F' 'Y8VHIH']
0.7757357394426222,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'QMID7A' 'BXC5ED' '3FXNZN']
0.8031601094560206,['HDULEH' 'NAC6N1' 'U2T1C7' ... '9K0SOI' '5MEDFG' '5HQ6Q1']
0.8013305280981189,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'Y0LPNC' 'BZJUA9' 'SBP251']
0.8380772371958456,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'SRZ3M2' 'VVWVL2' 'C6A7QX']
0.8250658420442181,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'TSKTRS' '2CU7ZY' '1U3B6P']
0.8357113721343264,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'UZSX6M' 'SA2LRK' 'RL9VZ9']
0.7848752264299392,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'TJOQL0' 'KPLHVT' 'KQRR1I']
0.8163882148291639,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'V450BO' 'XPLZM0' 'Q9Q06N']
0.80954738700073,['HDULEH' 'NAC6N1' 'U2T1C7' ... '5ADUX1' 'G5FVYO' '23US2I']
0.8167763465772926,['HDULEH' 'NAC6N1' 'U2T1C7' ... '2J0KMN' '8JXALH' 'WJC86G']
0.8106908856915004,['HDULEH' 'NAC6N1' 'U2T1C7' ... '5HMR69' 'W5JY3X' 'H4L317']
0.8151140712281041,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'YH5T8X' 'GFV654' 'PDBYGZ']
0.8210557935926692,['HDULEH' 'NAC6N1' 'U2T1C7' ... '0IOB07' 'F3BIKI' 'U5WGQX']
0.794120702841464,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'BVZY8O' 'J6LXGV' 'ENAEBK']
0.806911202683009,['HDULEH' 'NAC6N1' 'U2T1C7' ... '102L0Q' 'I2AZ06' 'IKQ5K4']
0.8106861482223977,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'YCYRIP' 'ETGDV4' '79TU33']
0.8180148361755785,['HDULEH' 'NAC6N1' 'U2T1C7' ... '36GCVQ' 'MX30JB' '32TQTC']
0.7939918966188497,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'VGXPMH' 'CE1YVD' '3LPWSP']
0.7986878567527593,['HDULEH' 'NAC6N1' 'U2T1C7' ... '2LC96S' '48VWJW' 'WZ554S']
0.7955133444029439,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'EYY4NU' 'MAPI47' 'PVLRKN']
0.8198858650597758,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'YDMRLA' 'UUSK1R' 'ZD6MZS']
0.7713222297071299,['HDULEH' 'NAC6N1' 'U2T1C7' ... '59HPT0' '139POA' 'JYPWGM']
0.8302563159197127,['HDULEH' 'NAC6N1' 'U2T1C7' ... '8DSIE3' 'XYSPRG' 'WR3RI0']
0.7994356701210773,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'GL1TP3' '7260I3' 'NZVDDR']
0.8190751546445715,['HDULEH' 'NAC6N1' 'U2T1C7' ... '9SLAQB' '3BHL4P' 'WQ7RJM']
0.8209829862680588,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'WDQE5D' 'FZL55K' 'EQUPR3']
0.7885368759802482,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'N8KFU5' 'IFBMYT' '3AIJA3']
0.7968940222547812,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'EQUPR3' 'FBP4YE' '2I1YL0']
0.8307517797731349,['HDULEH' 'NAC6N1' 'U2T1C7' ... '041TBE' 'BNC0GU' 'YCYRIP']
0.8168852923882225,['HDULEH' 'NAC6N1' 'U2T1C7' ... '2UVBUF' 'H3T1XO' 'UHW0R0']
0.8202911735556496,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'ZZZ0GT' 'WUW1GT' '5C8YU7']
0.8230438462915779,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'Y2W1PH' '8X9K47' '96WVGA']
0.8151538368137152,['HDULEH' 'NAC6N1' 'U2T1C7' ... '5YCYNE' '5ETL5S' 'YDMRLA']
0.8113125336583286,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'MOY444' 'R1YH7D' 'B0Q8HD']
0.8093893635246121,['HDULEH' 'NAC6N1' 'U2T1C7' ... '8I9D3F' 'ZFQJC2' 'WGQLMQ']
0.7878164282980409,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'TEFESP' 'Q17KVU' 'K3O76W']
0.811026774343449,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'YFPDWQ' 'NBJO6X' 'GC5YWJ']
0.7988144252783053,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'MW0997' '13U76N' 'C338V4']
0.8103972258045272,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'QZEKC7' 'O1CIFK' 'MLBZRG']
0.8386469022195261,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'SS2YJC' 'F4VPIA' 'OHM5TX']
0.8197956593017757,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'JE6TPO' '781QLG' '23US2I']
